threshold,tp,fp,precision,recall
-0.4609375,85033,307125,0.21683352118278856,0.9718168207636658
-0.462890625,85036,307453,0.21665830125175484,0.9718511068697928
-0.46484375,85039,307756,0.2164971550045189,0.9718853929759197
-0.466796875,85043,308081,0.21632614645760626,0.971931107784089
-0.46875,85046,308401,0.21615617859584646,0.9719653938902159
-0.470703125,85049,308717,0.2159886836344428,0.9719996799963428
-0.47265625,85053,309042,0.2158185209150078,0.972045394804512
-0.474609375,85056,309333,0.21566524421320069,0.972079680910639
-0.4765625,85058,309641,0.215500926022108,0.9721025383147236
-0.478515625,85060,309944,0.21533959149780763,0.9721253957188082
-0.48046875,85063,310251,0.21517831394789966,0.9721596818249352
-0.482421875,85065,310587,0.21499954505474508,0.9721825392290198
-0.484375,85068,310894,0.21483879766240194,0.9722168253351466
-0.486328125,85069,311210,0.2146694626765486,0.972228254037189
-0.48828125,85069,311555,0.2144827342773004,0.972228254037189
-0.490234375,85072,311862,0.21432278414043646,0.9722625401433159
-0.4921875,85073,312184,0.2141510407620256,0.9722739688453582
-0.494140625,85075,312490,0.21399016513023028,0.9722968262494428
-0.49609375,85077,312804,0.21382523920468682,0.9723196836535275
-0.498046875,85077,313136,0.21364696782877504,0.9723196836535275
-0.5,85081,313591,0.21341102460167757,0.9723653984616967
-0.50390625,85089,314210,0.2130959506535203,0.9724568280780351
-0.5078125,85097,314835,0.21277867237430362,0.9725482576943737
-0.51171875,85103,315515,0.21242929673654204,0.9726168299066275
-0.515625,85107,316179,0.2120856446524424,0.9726625447147967
-0.51953125,85112,316860,0.21173614082572917,0.9727196882250083
-0.5234375,85118,317548,0.21138611156640988,0.9727882604372622
-0.52734375,85120,318244,0.21102527741692367,0.9728111178413468
-0.53125,85121,318926,0.21067103579534063,0.9728225465433891
-0.53515625,85124,319615,0.21031825448004762,0.972856832649516
-0.5390625,85130,320294,0.20997770235605193,0.9729254048617698
-0.54296875,85135,320971,0.2096373853131941,0.9729825483719814
-0.546875,85136,321684,0.20927191386854138,0.9729939770740237
-0.55078125,85142,322359,0.2089369105842685,0.9730625492862776
-0.5546875,85145,323033,0.20859771962232163,0.9730968353924044
-0.55859375,85146,323658,0.20828074089294626,0.9731082640944468
-0.5625,85150,324328,0.20794767972882547,0.973153978902616
-0.56640625,85156,324988,0.20762463915112742,0.9732225511148699
-0.5703125,85161,325698,0.207275488671296,0.9732796946250815
-0.57421875,85166,326438,0.2069124692665766,0.9733368381352929
-0.578125,85170,327095,0.20659042120965884,0.9733825529434622
-0.58203125,85172,327775,0.2062540713457175,0.9734054103475468
-0.5859375,85175,328477,0.20590979857464728,0.9734396964536738
-0.58984375,85177,329155,0.20557668729424713,0.9734625538577584
-0.59375,85183,329827,0.20525529505313125,0.9735311260700122
-0.59765625,85186,330503,0.2049272412789369,0.9735654121761391
-0.6015625,85189,331183,0.20459829191204018,0.9735996982822661
-0.60546875,85194,331897,0.20425758407637662,0.9736568417924776
-0.609375,85200,332619,0.2039160497727485,0.9737254140047314
-0.61328125,85202,333342,0.20356760579532857,0.9737482714088161
-0.6171875,85205,334013,0.20324747506070828,0.973782557514943
-0.62109375,85208,334701,0.202920156510101,0.9738168436210699
-0.625,85210,335398,0.202587682592818,0.9738397010251546
-0.62890625,85214,336115,0.20225049782948717,0.9738854158333238
-0.6328125,85218,336904,0.2018800252059831,0.9739311306414931
-0.63671875,85219,337604,0.20154769253328225,0.9739425593435354
-0.640625,85221,338299,0.2012207215715905,0.9739654167476199
