geometry,stu_worlds,scenes,logs,placements,observed_scenes,observed_logs,observed_placements
e438f057dcad9c3c17b075e09c252c8b5f4d2b961e79e43eb9a7ceee505a336f,1,10,10,10,10,10,10
e51a199b46ce10629bf348454c432b069eb89fd33b1cc0744d6e2b1eebd22d4d,1,10,10,10,10,10,10
e59e7cf685a01d357fe7c238001b08066edc6416d51600baa087e7b32f963701,1,10,10,10,10,10,10
e61ca90f1ae794eedb19f31d31fc0b4ba46ea03510f584419bbbf037a857c102,1,10,10,10,10,10,10
e68324f2cad7ea1857633700ebf5cb04a5c8068dbd8fd58c0ac0f87691ecd071,1,10,10,10,10,10,10
e8a846e8455a848f4153573e8ae2225f7773f96d7bbea2f3a9343f93368b2b93,1,10,10,10,10,10,10
e9e9fae20081db599a3e3fbd3b7dcd5c49366684ecd0c6954d7663bd55085cd1,1,10,10,10,10,10,10
ea32eaa84e1ddec22b3e35669565255f1f756ad36def9e2de3c1ff86db23d182,1,10,10,10,10,10,10
ebb1f026e13826974ddb827eead97f614a40621fbeb683c11355fc9b77b0cd02,1,10,10,10,10,10,10
edcff280b884f84519a77878893f67c932b47b50ffea24e62920591c259810b5,1,10,10,10,10,10,10
f23ca3e6df95cacd892c5fa7ffaf29ef85fea41f3ecb0ddf3855012219318bf6,1,10,10,10,10,10,10
f493b198b7229563c47b6b788135d425b23b50f033b3cc9aa694a0eaf178dabc,1,10,10,10,10,10,10
f4a749fbd0417c7e240bf94323b8cfde5fa46d0131a07ecefadfd08bb9a9b3a2,1,10,10,10,10,10,10
f9c13be90b0f696f1b2cb37a139a7dc498e84d0448cf902b251cdf6e827ef254,1,10,10,10,10,10,10
f9dbad3cf0a9ba4bcfe12467a862b7c503a519202b01d801680676ac2d612f7d,1,10,10,10,10,10,10
f9f9a554a4dcd4063234622c0eeab73866c5e2c87eee1d595d70272769a6052d,1,10,10,10,10,10,10
fc432a9fe84b49994ee1950aabbed660704b2cb3ee6194d080f6e0c2efb6e777,1,10,10,10,10,10,10
fc4c9c801e0ced090b4339dd57ae58fa45fe95bfe9f465323155e70ff0f9dd55,1,9,9,9,9,9,9
fc531cf98af477bf3bad9b778cbd18c3ab06af70a32474b9a984f825acf54028,1,10,10,10,10,10,10
fd3c82305ad2604e20171acc551fee37785702a2457434c4c8afe259ef06cad0,1,9,9,9,9,9,9
fe4f2f192f8a49affab16769c0d0e9f0448bc9613c9d960800624364199621b5,1,10,10,10,10,10,10
fecbddf5678248fb3d177bf442bf694423cd97123574403bdafdabda18107eb4,1,10,10,10,10,10,10
